MIN,MAX,MGAO TARIFF,,,BUSINESS BOUQUET TARIFF,,,CUSTOMER BOUQUET TARIFF,,
0,0,CUSTOMER,BUSINESS,TOTAL,CUSTOMER,BUSINESS,TOTAL,CUSTOMER,BUSINESS,TOTAL
1,49,Free*,Free*,Free*,Free*,Free*,Free*,Free*,Free*,Free*
50,100,Free*,Free*,Free*,Free*,Free*,Free*,Free*,Free*,Free*
101,499,23,0,23,23,0,23,0,23,23
500,999,23,0,23,23,0,23,0,23,23
1000,1499,23,12,35,34,0,34,0,34,34
1500,2499,23,12,35,34,0,34,0,34,34
2500,3499,34,22,56,56,0,56,0,56,56
3500,4999,34,22,56,56,0,56,0,56,56
5000,7499,34,51,85,85,0,85,0,85,85
7500,9999,34,51,85,85,0,85,0,85,85
10000,14999,34,79,113,112,0,112,0,112,112
15000,19999,34,79,113,112,0,112,0,112,112
20000,24999,34,79,113,112,0,112,0,112,112
25000,29999,34,79,113,112,0,112,0,112,112
30000,34999,34,79,113,112,0,112,0,112,112
35000,39999,45,157,202,202,0,202,0,202,202
40000,44999,45,157,202,202,0,202,0,202,202
45000,49999,45,157,202,202,0,202,0,202,202
50000,69999,49,161,210,210,0,210,0,210,210
70000,150000,49,161,210,210,0,210,0,210,210
