Date,Top-up Totals,Top-Up charges,Running Balance
2022-10-01,0.0,0.0,0.0
2022-10-04,700.0,23.0,700.0
2022-11-01,0.0,0.0,705.4045833333333
2022-11-04,1400.0,23.0,1405.4045833333334
2022-12-01,0.0,0.0,1416.255477887153
2022-12-04,2100.0,23.0,2116.2554778871527
2023-01-01,0.0,0.0,2132.594733722673
2023-01-04,2800.0,23.0,2832.594733722673
2023-02-01,0.0,0.0,2854.4647255626237
2023-02-04,3500.0,23.0,3554.4647255626237
2023-03-01,0.0,0.0,3581.908155297905
2023-03-04,4200.0,23.0,4281.908155297905
2023-04-01,0.0,0.0,4314.968054513601
2023-04-04,4900.0,23.0,5014.968054513601
2023-05-01,0.0,0.0,5053.6877870344915
2023-05-04,5600.0,23.0,5753.6877870344915
2023-06-01,0.0,0.0,5798.11105149022
2023-06-04,6300.0,23.0,6498.11105149022
2023-07-01,0.0,0.0,6548.2818839002675
2023-07-04,7000.0,23.0,7248.2818839002675
2023-08-01,0.0,0.0,7304.2446602788805
2023-08-04,7700.0,23.0,8004.2446602788805
2023-09-01,0.0,0.0,8066.044099260117
2023-09-04,8400.0,23.0,8766.044099260118
2023-10-01,0.0,0.0,8833.725264743156
2023-10-04,9100.0,23.0,9533.725264743156
2023-11-01,0.0,0.0,9607.333568558028
2023-11-04,9800.0,23.0,10307.333568558028
2023-12-01,0.0,0.0,10386.914773151937
2023-12-04,10500.0,23.0,11086.914773151937
2024-01-01,0.0,0.0,11172.514994296314
2024-01-04,11200.0,23.0,11872.514994296314
2024-02-01,0.0,0.0,11964.180703814778
2024-02-04,11900.0,23.0,12664.180703814778
2024-03-01,0.0,0.0,12761.958732332148
2024-03-04,12600.0,23.0,13461.958732332148
2024-04-01,0.0,0.0,13565.896272044696
2024-04-04,13300.0,23.0,14265.896272044696
2024-05-01,0.0,0.0,14376.040879511775
2024-05-04,14000.0,23.0,15076.040879511775
2024-06-01,0.0,0.0,15192.440478469005
2024-06-04,14700.0,23.0,15892.440478469005
2024-07-01,0.0,0.0,16015.143362663184
2024-07-04,15400.0,23.0,16715.143362663184
2024-08-01,0.0,0.0,16844.19819870908
2024-08-04,16100.0,23.0,17544.19819870908
2024-09-01,0.0,0.0,17679.65402896828
